Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,9.810000,9.810000,9.450000,9.510000,7.989057,7244700
2015-01-05,9.430000,9.460000,9.170000,9.250000,7.770640,11596700
2015-01-06,9.200000,9.340000,9.100000,9.340000,7.846244,16404900
2015-01-07,9.400000,9.850000,9.380000,9.710000,8.157069,8002200
2015-01-08,9.890000,9.900000,9.570000,9.580000,8.047861,7655900
2015-01-09,9.590000,9.650000,9.310000,9.330000,7.837844,5949600
2015-01-12,9.300000,9.370000,9.020000,9.060000,7.611027,12630200
2015-01-13,9.050000,9.380000,9.040000,9.080000,7.627825,9825900
2015-01-14,9.000000,9.280000,8.950000,9.260000,7.779040,6189700
2015-01-15,9.210000,9.530000,9.190000,9.220000,7.745438,9809000
2015-01-16,9.270000,9.550000,9.270000,9.500000,7.980658,7209400
2015-01-19,9.430000,9.540000,8.950000,8.980000,7.543821,9742300
2015-01-20,9.180000,9.340000,9.070000,9.160000,7.695034,17871200
2015-01-21,9.200000,9.600000,9.070000,9.580000,8.047861,13375800
2015-01-22,9.650000,10.030000,9.640000,9.990000,8.392290,30758200
2015-01-23,9.990000,9.990000,9.700000,9.820000,8.249475,8124400
2015-01-26,9.650000,9.790000,9.560000,9.700000,8.148671,9331700
2015-01-27,9.680000,9.950000,9.490000,9.880000,8.299883,10392300
2015-01-28,9.750000,9.820000,9.510000,9.660000,8.115067,8315500
2015-01-29,9.630000,9.850000,9.500000,9.850000,8.274683,9757000
2015-01-30,9.650000,9.650000,9.090000,9.200000,7.728635,23210700
2015-02-02,9.200000,9.360000,9.110000,9.320000,7.829445,8377400
2015-02-03,9.470000,9.660000,9.340000,9.580000,8.047861,12976700
2015-02-04,9.650000,9.870000,9.400000,9.750000,8.190674,12433400
2015-02-05,9.690000,9.830000,9.600000,9.680000,8.131870,11487200
2015-02-06,9.530000,9.630000,9.210000,9.430000,7.921853,11638900
2015-02-09,9.430000,9.480000,9.330000,9.430000,7.921853,7995800
2015-02-10,9.370000,9.560000,9.300000,9.340000,7.846244,6781000
2015-02-11,9.300000,9.300000,8.850000,8.970000,7.535421,29561900
2015-02-12,9.100000,9.300000,9.090000,9.270000,7.787443,10157300
2015-02-13,9.320000,9.420000,9.260000,9.380000,7.879848,8997300
2015-02-18,9.430000,9.750000,9.420000,9.640000,8.098269,16493000
2015-02-19,9.620000,9.890000,9.560000,9.660000,8.115067,7409700
2015-02-20,9.700000,9.750000,9.580000,9.710000,8.157069,7609300
2015-02-23,9.570000,9.780000,9.500000,9.590000,8.056263,5841000
2015-02-24,9.650000,9.950000,9.510000,9.950000,8.358687,9377400
2015-02-25,9.760000,9.910000,9.670000,9.880000,8.299883,7782300
2015-02-26,9.930000,10.050000,9.770000,10.030000,8.425897,11388900
2015-02-27,10.000000,10.210000,9.940000,10.080000,8.467896,16494600
2015-03-02,9.970000,10.100000,9.590000,9.650000,8.106668,14318000
2015-03-03,9.700000,9.980000,9.600000,9.850000,8.274683,10471800
2015-03-04,9.690000,9.930000,9.650000,9.930000,8.341889,10312100
2015-03-05,9.940000,9.980000,9.550000,9.640000,8.098269,12013800
2015-03-06,9.700000,9.750000,9.450000,9.670000,8.123469,10509600
2015-03-09,9.600000,9.700000,9.410000,9.610000,8.073063,10230700
2015-03-10,9.530000,9.740000,9.500000,9.510000,7.989057,10145400
