Date,Open,High,Low,Close,Volume,OpenInterest
2020-02-07 17:45:00,49.68,49.69,49.56,49.6,766.0,0
2020-02-07 17:30:00,49.77,49.79,49.65,49.69,731.0,0
2020-02-07 17:15:00,49.87,49.91,49.63,49.76,1365.0,0
2020-02-07 17:00:00,49.82,49.89,49.81,49.87,857.0,0
2020-02-07 16:45:00,49.89,49.93,49.73,49.83,688.0,0
2020-02-07 16:30:00,49.93,49.99,49.79,49.9,759.0,0
2020-02-07 16:15:00,49.77,49.95,49.76,49.93,812.0,0
2020-02-07 16:00:00,50.0,50.02,49.75,49.79,978.0,0
2020-02-07 15:45:00,50.03,50.1,49.96,50.01,754.0,0
2020-02-07 15:30:00,50.01,50.06,49.92,50.03,1019.0,0
2020-02-07 15:15:00,50.1,50.1,49.98,50.02,519.0,0
2020-02-07 15:00:00,50.11,50.14,50.03,50.11,523.0,0
2020-02-07 14:45:00,50.09,50.12,49.96,50.11,732.0,0
2020-02-07 14:30:00,50.12,50.13,49.95,50.09,638.0,0
2020-02-07 14:15:00,50.13,50.15,50.03,50.11,543.0,0
2020-02-07 14:00:00,50.27,50.27,50.09,50.14,613.0,0
2020-02-07 13:45:00,50.03,50.3,49.98,50.26,1161.0,0
2020-02-07 13:30:00,50.22,50.24,50.02,50.03,948.0,0
2020-02-07 13:15:00,50.2,50.32,50.19,50.21,806.0,0
2020-02-07 13:00:00,50.0,50.2,49.96,50.19,993.0,0
2020-02-07 12:45:00,49.86,50.02,49.77,50.0,1012.0,0
2020-02-07 12:30:00,49.58,49.88,49.51,49.86,619.0,0
2020-02-07 12:15:00,49.55,49.58,49.47,49.57,535.0,0
2020-02-07 12:00:00,49.5,49.62,49.47,49.56,664.0,0
2020-02-07 11:45:00,49.5,49.53,49.45,49.5,626.0,0
2020-02-07 11:30:00,49.53,49.8,49.44,49.5,797.0,0
2020-02-07 11:15:00,49.5,49.54,49.44,49.53,305.0,0
2020-02-07 11:00:00,49.47,49.65,49.44,49.52,337.0,0
2020-02-07 10:45:00,49.4,49.49,49.26,49.48,396.0,0
2020-02-07 10:30:00,49.5,49.69,49.38,49.4,447.0,0
2020-02-07 10:15:00,49.44,49.68,49.41,49.5,477.0,0
2020-02-07 10:00:00,49.55,49.55,49.36,49.43,201.0,0
2020-02-06 17:45:00,49.51,49.7,49.41,49.55,938.0,0
2020-02-06 17:30:00,49.45,49.54,49.43,49.5,1197.0,0
2020-02-06 17:15:00,49.32,49.52,49.32,49.45,1270.0,0
2020-02-06 17:00:00,49.26,49.32,49.25,49.32,561.0,0
2020-02-06 16:45:00,49.48,49.49,49.25,49.25,1069.0,0
2020-02-06 16:30:00,49.47,49.55,49.4,49.48,827.0,0
2020-02-06 16:15:00,49.61,49.69,49.43,49.48,850.0,0
2020-02-06 16:00:00,49.6,49.62,49.51,49.6,847.0,0
2020-02-06 15:45:00,49.54,49.62,49.51,49.61,586.0,0
2020-02-06 15:30:00,49.6,49.67,49.52,49.56,687.0,0
2020-02-06 15:15:00,49.62,49.69,49.58,49.61,710.0,0
2020-02-06 15:00:00,49.76,49.79,49.6,49.63,700.0,0
2020-02-06 14:45:00,49.84,49.95,49.74,49.76,571.0,0
2020-02-06 14:30:00,49.68,49.84,49.67,49.84,634.0,0
2020-02-06 14:15:00,49.61,49.69,49.59,49.68,409.0,0
2020-02-06 14:00:00,49.58,49.67,49.57,49.59,632.0,0
2020-02-06 13:45:00,49.71,49.72,49.51,49.58,813.0,0
2020-02-06 13:30:00,49.75,49.81,49.55,49.71,980.0,0
2020-02-06 13:15:00,49.72,49.78,49.62,49.75,591.0,0
2020-02-06 13:00:00,49.75,49.75,49.62,49.72,565.0,0
2020-02-06 12:45:00,49.77,49.86,49.6,49.75,973.0,0
2020-02-06 12:30:00,49.88,50.0,49.71,49.76,893.0,0
2020-02-06 12:15:00,49.98,50.0,49.84,49.88,1023.0,0
2020-02-06 12:00:00,50.18,50.24,49.95,49.98,777.0,0
2020-02-06 11:45:00,50.01,50.27,49.94,50.18,1023.0,0
2020-02-06 11:30:00,50.16,50.18,49.82,50.02,1017.0,0
2020-02-06 11:15:00,50.34,50.34,50.13,50.18,697.0,0
2020-02-06 11:00:00,50.32,50.51,50.22,50.34,1006.0,0
2020-02-06 10:45:00,50.51,50.57,50.3,50.34,621.0,0
2020-02-06 10:30:00,50.57,50.69,50.51,50.51,579.0,0
2020-02-06 10:15:00,50.85,50.85,50.52,50.61,586.0,0
2020-02-06 10:00:00,51.0,51.05,50.78,50.83,519.0,0
2020-02-05 18:00:00,50.4,50.4,50.4,50.4,0.0,0
