Open,High,Low,Close
49.68,49.69,49.56,49.6
49.77,49.79,49.65,49.69
49.87,49.91,49.63,49.76
49.82,49.89,49.81,49.87
49.89,49.93,49.73,49.83
49.93,49.99,49.79,49.9
49.77,49.95,49.76,49.93
50.0,50.02,49.75,49.79
50.03,50.1,49.96,50.01
50.01,50.06,49.92,50.03
50.1,50.1,49.98,50.02
50.11,50.14,50.03,50.11
50.09,50.12,49.96,50.11
50.12,50.13,49.95,50.09
50.13,50.15,50.03,50.11
50.27,50.27,50.09,50.14
50.03,50.3,49.98,50.26
50.22,50.24,50.02,50.03
50.2,50.32,50.19,50.21
50.0,50.2,49.96,50.19
49.86,50.02,49.77,50.0
49.58,49.88,49.51,49.86
49.55,49.58,49.47,49.57
49.5,49.62,49.47,49.56
49.5,49.53,49.45,49.5
49.53,49.8,49.44,49.5
49.5,49.54,49.44,49.53
49.47,49.65,49.44,49.52
49.4,49.49,49.26,49.48
49.5,49.69,49.38,49.4
49.44,49.68,49.41,49.5
49.55,49.55,49.36,49.43
49.51,49.7,49.41,49.55
49.45,49.54,49.43,49.5
49.32,49.52,49.32,49.45
49.26,49.32,49.25,49.32
49.48,49.49,49.25,49.25
49.47,49.55,49.4,49.48
49.61,49.69,49.43,49.48
49.6,49.62,49.51,49.6
49.54,49.62,49.51,49.61
49.6,49.67,49.52,49.56
49.62,49.69,49.58,49.61
49.76,49.79,49.6,49.63
49.84,49.95,49.74,49.76
49.68,49.84,49.67,49.84
49.61,49.69,49.59,49.68
49.58,49.67,49.57,49.59
49.71,49.72,49.51,49.58
49.75,49.81,49.55,49.71
49.72,49.78,49.62,49.75
49.75,49.75,49.62,49.72
49.77,49.86,49.6,49.75
49.88,50.0,49.71,49.76
49.98,50.0,49.84,49.88
50.18,50.24,49.95,49.98
50.01,50.27,49.94,50.18
50.16,50.18,49.82,50.02
50.34,50.34,50.13,50.18
50.32,50.51,50.22,50.34
50.51,50.57,50.3,50.34
50.57,50.69,50.51,50.51
50.85,50.85,50.52,50.61
51.0,51.05,50.78,50.83
50.4,50.4,50.4,50.4
50.4,50.51,50.36,50.4
50.39,50.43,50.34,50.39
50.4,50.44,50.34,50.39
50.37,50.47,50.34,50.4
50.41,50.46,50.31,50.39
50.5,50.54,50.35,50.43
50.46,50.55,50.41,50.5
50.62,50.62,50.4,50.46
50.68,50.71,50.62,50.63
50.83,50.83,50.64,50.68
50.84,50.9,50.79,50.82
50.65,50.89,50.64,50.85
50.76,50.79,50.62,50.65
50.73,50.79,50.71,50.77
50.77,50.78,50.62,50.73
50.65,50.8,50.58,50.78
50.65,50.69,50.61,50.65
50.75,50.76,50.62,50.64
50.78,50.84,50.71,50.76
50.91,50.91,50.73,50.78
50.89,50.95,50.81,50.91
50.9,50.96,50.74,50.89
51.13,51.19,50.82,50.92
51.09,51.29,51.09,51.13
50.82,51.13,50.73,51.1
50.49,50.94,50.42,50.83
50.27,50.49,50.13,50.48
50.4,50.4,50.16,50.28
50.12,50.56,50.1,50.38
