Date,Open,High,Low,Close,Adj Close,Volume
2018-05-11,3.089490,3.092790,2.982390,3.031820,2.657599,3410753
2018-05-14,3.054890,3.073020,2.965910,3.040060,2.664822,3059360
2018-05-15,3.031820,3.064780,2.982390,3.012050,2.640269,2553210
2018-05-16,3.016990,3.046650,3.015350,3.031820,2.657599,781681
2018-05-17,3.031820,3.035120,3.015350,3.030180,2.656161,415117
2018-05-18,3.031820,3.046650,2.965910,3.040060,2.664822,1377653
2018-05-21,3.038410,3.038410,2.965910,2.982390,2.614270,15967422
2018-05-22,3.015350,3.064780,3.008760,3.048300,2.672045,4714971
2018-05-23,3.048300,3.130690,3.016990,3.125740,2.739926,1446839
2018-05-24,3.127390,3.130690,3.035120,3.035120,2.660491,2530147
2018-05-25,3.048300,3.081260,2.941200,3.031820,2.657599,2301348
2018-05-28,3.031820,3.061480,2.932960,2.974150,2.607048,2468851
2018-05-29,2.985690,3.040060,2.962620,3.023580,2.650376,2319555
2018-05-30,3.023580,3.045010,2.883530,2.883530,2.527612,1009267
2018-06-01,2.900000,2.998870,2.685800,2.834100,2.484284,1450480
2018-06-04,2.860460,2.932960,2.804440,2.842330,2.491498,1721156
2018-06-05,2.848930,2.898360,2.654490,2.684150,2.352842,5187136
2018-06-06,2.690740,2.751710,2.553980,2.570460,2.253185,561378
2018-06-07,2.553980,2.553980,2.250800,2.389210,2.094307,1339418
2018-06-08,2.441940,2.534210,2.372730,2.455120,2.152081,782288
2018-06-11,2.527620,2.636370,2.455120,2.553980,2.238739,917019
2018-06-12,2.583640,2.684150,2.575400,2.636370,2.310960,681544
2018-06-13,2.636370,2.680860,2.483130,2.586940,2.267631,606289
2018-06-14,2.553980,2.638020,2.553980,2.562220,2.245962,509185
2018-06-15,2.588580,2.605060,2.504550,2.521030,2.209856,2131417
2018-06-18,2.509490,2.549040,2.471600,2.471600,2.166528,267034
2018-06-19,2.471600,2.479830,2.412280,2.436990,2.136190,1544549
2018-06-20,2.471600,2.479830,2.361200,2.361200,2.069754,864826
2018-06-21,2.389210,2.389210,2.295290,2.295290,2.011980,361103
2018-06-22,2.300230,2.348020,2.275520,2.306820,2.022086,329544
2018-06-25,2.324950,2.356250,2.306820,2.313410,2.027863,981957
2018-06-26,2.338130,2.339780,2.296940,2.331540,2.043756,842978
2018-06-27,2.331540,2.348020,2.282110,2.282110,2.000427,512827
2018-06-28,2.306820,2.384270,2.273870,2.331540,2.043756,995916
2018-06-29,2.331540,2.380970,2.310120,2.380970,2.087084,1265377
2018-07-02,2.387730,2.387730,2.260670,2.260670,2.085604,1336870
2018-07-03,2.273870,2.306870,2.230970,2.230970,2.058203,804183
2018-07-04,2.254070,2.278820,2.244170,2.278820,2.102348,202409
2018-07-05,2.278820,2.358030,2.278820,2.311820,2.132792,8350895
2018-07-06,2.301920,2.358030,2.257370,2.265620,2.090170,3200974
2018-07-10,2.277170,2.326670,2.267270,2.267270,2.091693,1181124
2018-07-11,2.277170,2.343170,2.267270,2.301920,2.123659,705402
2018-07-12,2.308520,2.382780,2.301920,2.343170,2.161715,905993
2018-07-13,2.359680,2.526340,2.358030,2.488380,2.295680,1064163
2018-07-16,2.494990,2.706200,2.494990,2.697950,2.489020,896297
2018-07-17,2.697950,2.879460,2.697950,2.805210,2.587974,1064769
2018-07-18,2.811810,2.947120,2.811810,2.844810,2.624507,989623
2018-07-19,2.887710,2.933920,2.673200,2.755700,2.542299,1827137
2018-07-20,2.806860,2.884410,2.772210,2.792010,2.575796,824787
2018-07-23,2.796960,2.886060,2.767260,2.846460,2.626030,656921
2018-07-24,2.859660,2.887710,2.841510,2.887710,2.664085,366639
2018-07-25,2.887710,2.970220,2.838210,2.887710,2.664085,666617
2018-07-26,2.920720,2.937220,2.839860,2.839860,2.619941,267253
2018-07-27,2.899270,2.909170,2.839860,2.839860,2.619941,212105
2018-07-30,2.844810,2.895970,2.806860,2.826660,2.607763,249072
2018-07-31,2.869560,2.869560,2.749100,2.805210,2.587974,458148
2018-08-01,2.871210,2.970220,2.816760,2.829960,2.610807,1344749
2018-08-02,2.846460,2.900920,2.838210,2.871210,2.648863,1635030
2018-08-03,2.884410,2.924020,2.856360,2.914120,2.688450,3029472
2018-08-06,2.935570,3.135230,2.935570,3.135230,2.892437,2863424
2018-08-07,3.133580,3.173190,3.016420,3.075830,2.837637,2113782
2018-08-08,3.108830,3.300250,3.098930,3.267240,3.014225,2030758
2018-08-09,3.277140,3.415750,3.277140,3.399250,3.136011,4525118
2018-08-10,3.399250,3.399250,3.275490,3.384400,3.122311,995078
2018-08-13,3.366250,3.547760,3.308500,3.527960,3.254754,1405350
2018-08-14,3.532910,3.613770,3.493310,3.582420,3.304997,2485270
2018-08-15,3.574170,3.824980,3.539510,3.815080,3.519640,2316192
2018-08-16,3.867890,3.993300,3.867890,3.943790,3.638382,3846381
2018-08-17,3.940490,3.940490,3.547760,3.696270,3.410031,2893724
2018-08-20,3.696270,3.763930,3.491660,3.664920,3.381108,2220441
2018-08-21,3.678120,3.857990,3.539510,3.694620,3.408508,1661695
2018-08-22,3.691320,3.762280,3.557660,3.635220,3.353709,3722754
2018-08-23,3.643470,3.777130,3.577470,3.577470,3.300430,4898424
2018-08-24,3.595620,3.669870,3.498260,3.572520,3.295864,1008410
2018-08-27,3.630270,3.795280,3.589020,3.795280,3.501373,2598595
2018-08-28,3.821680,4.039500,3.821680,4.039500,3.726681,2764037
2018-08-29,4.064250,4.216060,3.881090,3.960290,3.653605,3506406
2018-08-30,3.991650,4.174810,3.991650,4.166560,3.843901,6010463
2018-08-31,4.166560,4.455330,4.166560,4.422330,4.079864,6980694
2018-09-03,4.480080,4.684700,4.442130,4.620340,4.262541,6512850
2018-09-04,4.692950,5.098880,4.636840,4.876110,4.498503,8583605
2018-09-05,4.928920,5.296890,4.928920,5.115380,4.719244,7527926
2018-09-06,5.285340,5.379400,4.758950,4.867860,4.490892,7813965
2018-09-10,4.902510,5.112080,4.527940,4.595590,4.239707,4010005
2018-09-11,4.537840,4.537840,4.291970,4.511440,4.162073,2378005
2018-09-12,4.425630,4.884360,4.293620,4.884360,4.506114,7398844
2018-09-13,4.952020,5.107130,4.770500,4.815060,4.442181,4500272
2018-09-14,4.826610,5.029570,4.826610,4.950370,4.567013,2412548
2018-09-17,4.983370,5.092280,4.877760,4.966870,4.582234,2079240
2018-09-18,4.966870,5.013070,4.701200,4.777100,4.407161,2185292
2018-09-19,4.785360,4.900860,4.633540,4.689650,4.326483,2031970
2018-09-20,4.686350,4.829910,4.570840,4.603840,4.247318,1147794
2018-09-21,4.684700,4.760600,4.412430,4.760600,4.391938,2560416
2018-09-24,4.851360,4.942120,4.773800,4.884360,4.506114,2364673
2018-09-25,4.886010,5.024620,4.859610,5.024620,4.635513,1504737
2018-09-26,5.084030,5.272140,5.082380,5.247390,4.841032,2149537
2018-09-27,5.310090,5.348050,5.105480,5.113730,4.717722,3924557
2018-09-28,5.125280,5.206140,4.958620,5.014720,4.626379,6985542
2018-10-01,4.983370,4.983370,4.856310,4.909110,4.613273,3345812
2018-10-02,5.024620,5.072480,4.933870,4.973470,4.673754,2200443
2018-10-03,5.026270,5.176430,4.867860,4.966870,4.667552,1290207
2018-10-04,5.065880,5.128580,4.902510,4.950370,4.652047,1027196
2018-10-05,4.999870,4.999870,4.859610,4.859610,4.566756,1574429
2018-10-08,4.950370,5.202840,4.950370,5.067530,4.762146,3022200
2018-10-09,5.095580,5.940440,5.049370,5.932190,5.574699,4405127
2018-10-10,5.676420,5.960240,5.544410,5.770480,5.422734,4276046
2018-10-11,5.872790,5.940440,5.770480,5.940440,5.582453,2134387
2018-10-15,6.084000,6.687950,6.042750,6.435480,6.047659,4940239
2018-10-16,6.508080,6.749000,6.234160,6.319970,5.939110,4051214
2018-10-17,6.389270,6.579040,6.234160,6.310070,5.929808,2271952
2018-10-18,6.354620,6.539440,6.237460,6.478380,6.087974,2045909
2018-10-19,6.526230,7.277040,6.433830,7.131830,6.702045,3993643
2018-10-22,7.242390,7.706070,7.229190,7.635120,7.175005,4724498
2018-10-23,7.696170,7.745680,7.382650,7.475060,7.024591,4479667
2018-10-24,7.526210,7.654920,7.229190,7.359550,6.916042,4117270
2018-10-25,7.461850,7.557560,7.138430,7.227540,6.791988,2596171
2018-10-26,7.240740,7.451950,7.153280,7.211040,6.776482,2616169
2018-10-29,6.948670,6.980020,6.831510,6.938770,6.520619,2336190
2018-10-30,7.046020,7.046020,6.542740,6.600490,6.202725,3637912
2018-10-31,6.687950,7.092230,6.410730,6.897510,6.481847,6507396
2018-11-01,7.092230,7.179680,6.767150,7.037770,6.613653,4575418
2018-11-05,7.097180,7.206090,6.785300,6.897510,6.481847,2736160
2018-11-06,6.867810,6.894210,6.683000,6.701150,6.297319,1087798
2018-11-07,6.722600,6.948670,6.496530,6.848010,6.435329,2333766
2018-11-08,6.899160,6.996520,6.580690,6.678050,6.275611,2125297
2018-11-09,6.600490,6.747350,6.552640,6.600490,6.202725,1219909
2018-11-12,6.681350,6.681350,6.270470,6.270470,5.892593,2624048
2018-11-13,6.268820,6.268820,5.643420,5.758930,5.411880,6836462
2018-11-14,5.722620,6.014700,5.470160,5.884340,5.529733,6709805
2018-11-16,6.014700,6.074100,5.742430,5.803480,5.453746,3412474
2018-11-19,5.844730,5.907440,5.760580,5.775430,5.427386,2124085
2018-11-21,5.775430,5.775430,5.542760,5.654970,5.314186,2349522
