Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,9.420000,9.866670,9.356670,9.763330,7.377270,33310500
2017-08-01,9.860000,9.900000,9.763330,9.800000,7.404978,11410800
2017-08-02,9.800000,9.826670,9.696670,9.816670,7.417574,3377700
2017-08-03,9.750000,9.820000,9.713330,9.780000,7.389865,2025000
2017-08-04,9.866670,9.986670,9.473330,9.500000,7.178295,6963000
2017-08-07,9.633330,9.700000,9.500000,9.516670,7.190891,4884000
2017-08-08,9.593330,9.593330,9.336670,9.383330,7.090138,6029700
2017-08-09,9.400000,9.433330,9.103330,9.250000,6.989393,4650900
2017-08-10,9.230000,9.470000,9.193330,9.413330,7.112806,1926900
2017-08-11,9.470000,9.520000,9.333330,9.466670,7.153110,1115100
2017-08-14,9.516670,9.516670,9.353330,9.466670,7.153110,984300
2017-08-15,9.516670,9.516670,9.436670,9.466670,7.153110,1670100
2017-08-16,9.466670,9.530000,9.303330,9.500000,7.178295,3264300
2017-08-17,9.500000,9.510000,9.400000,9.416670,7.115330,5687700
2017-08-18,9.433330,9.516670,9.336670,9.500000,7.178295,7521600
2017-08-21,9.503330,9.563330,9.280000,9.540000,7.208519,5918700
2017-08-22,9.540000,9.566670,9.446670,9.500000,7.178295,1063500
2017-08-23,9.500000,9.503330,9.320000,9.356670,7.069994,1593300
2017-08-24,9.426670,9.666670,9.243330,9.666670,7.304232,11426100
2017-08-25,9.640000,9.933330,9.586670,9.933330,7.505723,4571700
2017-08-28,9.953330,10.110000,9.833330,10.083300,7.619043,5250600
2017-08-29,10.056700,10.256700,9.866670,10.056700,7.598944,2550900
2017-08-30,10.116700,10.126700,9.906670,10.100000,7.631662,1484100
2017-08-31,10.026700,10.110000,9.960000,10.000000,7.556099,556500
2017-09-01,10.003300,10.033300,9.873330,9.920000,7.495652,2351100
2017-09-04,9.933330,10.050000,9.900000,10.000000,7.556099,619500
2017-09-05,10.000000,10.163300,9.973330,10.100000,7.631662,5808900
2017-09-06,10.166700,10.333300,10.166700,10.260000,7.752560,2525400
2017-09-07,10.260000,10.260000,10.260000,10.260000,7.752560,0
2017-09-08,10.383300,10.596700,10.326700,10.500000,7.933906,6706200
2017-09-11,10.500000,10.600000,10.436700,10.526700,7.954078,2741700
2017-09-12,10.520000,10.656700,10.500000,10.500000,7.933906,2677200
2017-09-13,10.503300,10.543300,10.333300,10.396700,7.855851,1411200
2017-09-14,10.350000,10.533300,10.350000,10.383300,7.845726,1188000
2017-09-15,10.370000,10.586700,10.370000,10.580000,7.994354,2360400
2017-09-18,10.600000,10.700000,10.436700,10.500000,7.933906,4387800
2017-09-19,10.500000,10.666700,10.420000,10.486700,7.923856,515400
2017-09-20,10.560000,10.583300,10.403300,10.410000,7.865900,1494600
2017-09-21,10.440000,10.536700,10.363300,10.500000,7.933906,2058300
2017-09-22,10.490000,10.633300,10.426700,10.630000,8.032134,851100
2017-09-25,10.640000,10.696700,10.403300,10.450000,7.896125,1792200
2017-09-26,10.476700,10.526700,10.303300,10.370000,7.835676,1003500
2017-09-27,10.400000,10.453300,10.203300,10.233300,7.732384,954300
2017-09-28,10.276700,10.446700,10.000000,10.133300,7.656823,2556900
