Date,Open,High,Low,Close,Volume
2020-02-07 17:45:00,33.84,33.86,33.67,33.71,1970.0
2020-02-07 17:30:00,33.85,33.86,33.77,33.84,3194.0
2020-02-07 17:15:00,33.82,33.89,33.75,33.83,2319.0
2020-02-07 17:00:00,33.71,33.87,33.68,33.81,2702.0
2020-02-07 16:45:00,33.67,33.71,33.63,33.71,1556.0
2020-02-07 16:30:00,33.73,33.77,33.62,33.66,1664.0
2020-02-07 16:15:00,33.73,33.76,33.64,33.74,2013.0
2020-02-07 16:00:00,33.76,33.79,33.69,33.72,2007.0
2020-02-07 15:45:00,33.78,33.84,33.74,33.77,2613.0
2020-02-07 15:30:00,33.86,33.86,33.75,33.8,2155.0
2020-02-07 15:15:00,33.8,33.91,33.8,33.85,1665.0
2020-02-07 15:00:00,33.82,33.86,33.77,33.81,1822.0
2020-02-07 14:45:00,33.85,33.86,33.75,33.82,1551.0
2020-02-07 14:30:00,33.95,33.97,33.79,33.86,1617.0
2020-02-07 14:15:00,33.89,33.97,33.85,33.97,1394.0
2020-02-07 14:00:00,34.01,34.03,33.88,33.9,1586.0
2020-02-07 13:45:00,34.03,34.06,33.98,34.03,1640.0
2020-02-07 13:30:00,34.09,34.12,34.01,34.03,2928.0
2020-02-07 13:15:00,33.93,34.15,33.92,34.1,2154.0
2020-02-07 13:00:00,33.77,33.94,33.73,33.93,1321.0
2020-02-07 12:45:00,33.76,33.84,33.73,33.75,1883.0
2020-02-07 12:30:00,33.65,33.82,33.54,33.75,2105.0
2020-02-07 12:15:00,33.59,33.73,33.53,33.65,1679.0
2020-02-07 12:00:00,33.52,33.6,33.48,33.59,1601.0
2020-02-07 11:45:00,33.58,33.59,33.45,33.52,1030.0
2020-02-07 11:30:00,33.49,33.67,33.46,33.59,1297.0
2020-02-07 11:15:00,33.41,33.5,33.38,33.5,540.0
2020-02-07 11:00:00,33.35,33.45,33.35,33.42,624.0
2020-02-07 10:45:00,33.36,33.44,33.3,33.36,606.0
2020-02-07 10:30:00,33.4,33.53,33.33,33.39,913.0
2020-02-07 10:15:00,33.28,33.51,33.28,33.4,1030.0
2020-02-07 10:00:00,33.05,33.34,33.0,33.28,808.0
2020-02-06 18:00:00,33.28,33.28,33.28,33.28,0.0
2020-02-06 17:45:00,33.28,33.48,33.24,33.28,1746.0
2020-02-06 17:30:00,33.23,33.3,33.23,33.29,1410.0
2020-02-06 17:15:00,33.24,33.29,33.22,33.22,1248.0
2020-02-06 17:00:00,33.2,33.26,33.19,33.23,1190.0
2020-02-06 16:45:00,33.27,33.29,33.21,33.21,955.0
2020-02-06 16:30:00,33.15,33.28,33.15,33.28,1120.0
2020-02-06 16:15:00,33.21,33.21,33.12,33.17,948.0
2020-02-06 16:00:00,33.21,33.23,33.15,33.21,777.0
2020-02-06 15:45:00,33.18,33.22,33.16,33.22,623.0
2020-02-06 15:30:00,33.2,33.22,33.17,33.19,886.0
2020-02-06 15:15:00,33.2,33.25,33.18,33.19,1069.0
2020-02-06 15:00:00,33.33,33.34,33.19,33.21,878.0
2020-02-06 14:45:00,33.36,33.46,33.28,33.33,1985.0
2020-02-06 14:30:00,33.28,33.36,33.24,33.35,927.0
2020-02-06 14:15:00,33.2,33.28,33.19,33.27,1010.0
2020-02-06 14:00:00,33.14,33.25,33.12,33.19,698.0
2020-02-06 13:45:00,33.29,33.3,33.12,33.13,889.0
2020-02-06 13:30:00,33.2,33.34,33.18,33.28,1535.0
2020-02-06 13:15:00,33.19,33.22,33.16,33.18,951.0
2020-02-06 13:00:00,33.19,33.23,33.12,33.19,1263.0
2020-02-06 12:45:00,33.18,33.21,33.11,33.19,1325.0
2020-02-06 12:30:00,33.38,33.38,33.14,33.18,1856.0
2020-02-06 12:15:00,33.5,33.51,33.36,33.38,1353.0
2020-02-06 12:00:00,33.56,33.59,33.43,33.52,1076.0
2020-02-06 11:45:00,33.56,33.62,33.53,33.54,1178.0
2020-02-06 11:30:00,33.67,33.67,33.48,33.56,1713.0
2020-02-06 11:15:00,33.7,33.72,33.65,33.66,465.0
2020-02-06 11:00:00,33.66,33.73,33.63,33.71,914.0
2020-02-06 10:45:00,33.68,33.7,33.65,33.66,286.0
2020-02-06 10:30:00,33.66,33.72,33.63,33.68,453.0
2020-02-06 10:15:00,33.59,33.72,33.58,33.66,693.0
2020-02-06 10:00:00,33.7,33.74,33.58,33.6,556.0
2020-02-05 17:45:00,33.45,33.5,33.36,33.36,2454.0
2020-02-05 17:30:00,33.55,33.59,33.38,33.45,5338.0
2020-02-05 17:15:00,33.6,33.7,33.53,33.56,3756.0
2020-02-05 17:00:00,33.63,33.67,33.57,33.6,2936.0
2020-02-05 16:45:00,33.54,33.66,33.51,33.63,3422.0
2020-02-05 16:30:00,33.68,33.72,33.54,33.55,2164.0
2020-02-05 16:15:00,33.65,33.77,33.63,33.69,2287.0
2020-02-05 16:00:00,33.78,33.78,33.65,33.67,1999.0
2020-02-05 15:45:00,33.71,33.78,33.7,33.77,2236.0
2020-02-05 15:30:00,33.53,33.74,33.5,33.73,2041.0
2020-02-05 15:15:00,33.63,33.65,33.45,33.53,2537.0
2020-02-05 15:00:00,33.57,33.64,33.54,33.6,1713.0
2020-02-05 14:45:00,33.64,33.68,33.55,33.56,1242.0
2020-02-05 14:30:00,33.61,33.72,33.6,33.64,1546.0
2020-02-05 14:15:00,33.69,33.72,33.55,33.62,1493.0
2020-02-05 14:00:00,33.73,33.78,33.67,33.69,1209.0
