Date,Open,High,Low,Close,Volume
2019-06-05 15:00:00,24.0,24.05,23.92,23.92,120.0
2019-06-05 15:15:00,23.92,23.96,23.85,23.85,162.0
2019-06-05 15:30:00,23.85,23.91,23.71,23.71,213.0
2019-06-05 15:45:00,23.7,23.74,23.62,23.66,183.0
2019-06-05 16:00:00,23.66,23.7,23.61,23.69,226.0
2019-06-05 16:15:00,23.67,23.79,23.66,23.68,255.0
2019-06-05 16:30:00,23.66,23.7,23.45,23.62,358.0
2019-06-05 16:45:00,23.63,23.88,23.52,23.85,392.0
2019-06-06 10:00:00,24.2,24.2,23.96,24.07,210.0
2019-06-06 10:15:00,24.05,24.05,23.95,24.0,198.0
2019-06-06 10:30:00,24.0,24.01,23.71,23.72,270.0
2019-06-06 10:45:00,23.74,23.88,23.67,23.86,189.0
2019-06-06 11:00:00,23.83,23.84,23.61,23.62,198.0
2019-06-06 11:15:00,23.62,23.68,23.61,23.65,138.0
2019-06-06 11:30:00,23.64,23.67,23.46,23.62,215.0
2019-06-06 11:45:00,23.62,23.65,23.54,23.64,92.0
2019-06-06 12:00:00,23.64,23.65,23.55,23.62,73.0
2019-06-06 12:15:00,23.62,23.76,23.6,23.69,112.0
2019-06-06 12:30:00,23.67,23.72,23.63,23.71,98.0
2019-06-06 12:45:00,23.7,23.71,23.65,23.67,37.0
2019-06-06 13:00:00,23.67,23.67,23.58,23.59,82.0
2019-06-06 13:15:00,23.62,23.68,23.51,23.63,154.0
2019-06-06 13:30:00,23.65,23.67,23.59,23.59,55.0
2019-06-06 13:45:00,23.65,23.67,23.6,23.64,54.0
2019-06-06 14:00:00,23.66,23.67,23.63,23.66,58.0
2019-06-06 14:15:00,23.65,23.71,23.62,23.69,64.0
2019-06-06 14:30:00,23.69,23.7,23.65,23.7,62.0
2019-06-06 14:45:00,23.7,23.88,23.67,23.83,160.0
2019-06-06 15:00:00,23.88,23.95,23.84,23.86,110.0
2019-06-06 15:15:00,23.87,23.88,23.71,23.78,133.0
2019-06-06 15:30:00,23.73,23.91,23.71,23.88,282.0
2019-06-06 15:45:00,23.88,23.88,23.76,23.79,172.0
2019-06-06 16:00:00,23.79,23.82,23.71,23.81,120.0
2019-06-06 16:15:00,23.79,23.93,23.78,23.86,301.0
2019-06-06 16:30:00,23.86,23.89,23.79,23.81,221.0
2019-06-06 16:45:00,23.8,23.82,23.7,23.7,251.0
2019-06-07 10:00:00,23.79,24.0,23.76,23.93,102.0
2019-06-07 10:15:00,23.98,24.01,23.91,23.94,166.0
2019-06-07 10:30:00,23.94,23.99,23.86,23.93,139.0
2019-06-07 10:45:00,23.9,24.07,23.9,24.01,173.0
2019-06-07 11:00:00,24.01,24.1,23.93,23.98,171.0
2019-06-07 11:15:00,23.95,24.07,23.93,24.05,106.0
2019-06-07 11:30:00,24.04,24.13,24.01,24.13,179.0
2019-06-07 11:45:00,24.13,24.17,24.11,24.15,163.0
2019-06-07 12:00:00,24.15,24.16,24.08,24.14,95.0
2019-06-07 12:15:00,24.14,24.36,24.14,24.3,394.0
2019-06-07 12:30:00,24.3,24.34,24.21,24.26,190.0
2019-06-07 12:45:00,24.26,24.32,24.26,24.26,84.0
2019-06-07 13:00:00,24.26,24.31,24.24,24.31,76.0
2019-06-07 13:15:00,24.31,24.35,24.25,24.31,246.0
2019-06-07 13:30:00,24.33,24.36,24.31,24.36,82.0
2019-06-07 13:45:00,24.35,24.46,24.35,24.46,196.0
2019-06-07 14:00:00,24.46,24.51,24.43,24.51,145.0
2019-06-07 14:15:00,24.51,24.56,24.43,24.43,200.0
2019-06-07 14:30:00,24.44,24.52,24.44,24.52,120.0
2019-06-07 14:45:00,24.52,24.52,24.42,24.48,151.0
2019-06-07 15:00:00,24.48,24.52,24.44,24.51,197.0
2019-06-07 15:15:00,24.51,24.56,24.5,24.53,207.0
2019-06-07 15:30:00,24.53,24.56,24.46,24.53,126.0
2019-06-07 15:45:00,24.55,24.55,24.48,24.55,141.0
2019-06-07 16:00:00,24.55,24.63,24.52,24.61,323.0
2019-06-07 16:15:00,24.61,24.66,24.57,24.65,172.0
2019-06-07 16:30:00,24.65,24.71,24.61,24.63,274.0
2019-06-07 16:45:00,24.63,24.75,24.58,24.75,354.0
2019-06-10 10:00:00,24.76,24.88,24.51,24.64,320.0
2019-06-10 10:15:00,24.64,24.72,24.63,24.72,132.0
2019-06-10 10:30:00,24.74,24.74,24.65,24.7,128.0
2019-06-10 10:45:00,24.72,24.74,24.55,24.59,298.0
2019-06-10 11:00:00,24.58,24.67,24.57,24.67,107.0
2019-06-10 11:15:00,24.65,24.71,24.6,24.69,142.0
2019-06-10 11:30:00,24.69,24.79,24.63,24.77,207.0
2019-06-10 11:45:00,24.79,24.99,24.76,24.93,465.0
2019-06-10 12:00:00,24.93,25.07,24.93,25.01,231.0
2019-06-10 12:15:00,25.03,25.11,24.98,25.07,213.0
2019-06-10 12:30:00,25.1,25.17,25.04,25.15,232.0
2019-06-10 12:45:00,25.14,25.25,25.14,25.24,262.0
2019-06-10 13:00:00,25.24,25.25,25.11,25.12,128.0
2019-06-10 13:15:00,25.14,25.14,25.0,25.1,232.0
2019-06-10 13:30:00,25.1,25.23,25.1,25.17,151.0
2019-06-10 13:45:00,25.18,25.23,25.16,25.19,151.0
2019-06-10 14:00:00,25.21,25.23,25.16,25.23,75.0
2019-06-10 14:15:00,25.23,25.25,25.16,25.2,125.0
2019-06-10 14:30:00,25.21,25.24,25.18,25.21,125.0
2019-06-10 14:45:00,25.23,25.24,25.18,25.24,116.0
2019-06-10 15:00:00,25.24,25.32,25.22,25.31,233.0
2019-06-10 15:15:00,25.31,25.34,25.26,25.34,236.0
2019-06-10 15:30:00,25.34,25.43,25.34,25.43,277.0
2019-06-10 15:45:00,25.43,25.43,25.4,25.43,164.0
2019-06-10 16:00:00,25.43,25.49,25.4,25.46,274.0
2019-06-10 16:15:00,25.46,25.49,25.43,25.45,186.0
2019-06-10 16:30:00,25.44,25.48,25.36,25.38,320.0
2019-06-10 16:45:00,25.38,25.38,25.26,25.26,362.0
2019-06-11 10:00:00,25.44,25.57,25.4,25.52,182.0
