Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,2.300000,2.335000,2.200000,2.200000,2.200000,168000
2015-01-05,2.180000,2.190000,2.035000,2.035000,2.035000,382400
2015-01-06,2.035000,2.095000,1.835000,1.835000,1.835000,430800
2015-01-07,1.875000,1.945000,1.825000,1.830000,1.830000,300200
2015-01-08,1.915000,1.915000,1.825000,1.890000,1.890000,324400
2015-01-09,1.835000,2.425000,1.835000,2.190000,2.190000,2131600
2015-01-12,2.170000,2.185000,1.895000,1.895000,1.895000,1705200
2015-01-13,1.910000,1.975000,1.855000,1.865000,1.865000,632200
2015-01-14,1.855000,1.875000,1.685000,1.725000,1.725000,435400
2015-01-15,1.800000,1.815000,1.690000,1.730000,1.730000,334400
2015-01-16,1.810000,1.810000,1.580000,1.590000,1.590000,910600
2015-01-19,1.575000,1.610000,1.425000,1.430000,1.430000,966200
2015-01-20,1.520000,1.715000,1.520000,1.630000,1.630000,2463200
2015-01-21,1.835000,2.215000,1.770000,2.215000,2.215000,3549600
2015-01-22,2.500000,3.390000,2.500000,3.145000,3.145000,4962600
2015-01-23,2.500000,3.850000,2.500000,3.140000,3.140000,6100400
2015-01-26,3.000000,3.415000,2.870000,2.870000,2.870000,3880400
2015-01-27,2.810000,2.900000,2.205000,2.205000,2.205000,5119000
2015-01-28,2.270000,2.410000,2.030000,2.150000,2.150000,3135000
2015-01-29,2.145000,2.225000,1.935000,2.020000,2.020000,2670000
2015-01-30,2.025000,2.060000,1.865000,1.950000,1.950000,1161000
2015-02-02,1.975000,2.430000,1.925000,2.410000,2.410000,2623000
2015-02-03,2.675000,2.885000,2.475000,2.495000,2.495000,3807400
2015-02-04,2.590000,2.685000,2.455000,2.500000,2.500000,1680800
2015-02-05,2.500000,2.600000,2.495000,2.510000,2.510000,658200
2015-02-06,2.500000,2.540000,2.365000,2.390000,2.390000,828400
2015-02-09,2.325000,2.560000,2.325000,2.455000,2.455000,612400
2015-02-10,2.500000,2.535000,2.400000,2.430000,2.430000,293800
2015-02-11,2.430000,2.510000,2.325000,2.395000,2.395000,452800
2015-02-12,2.420000,2.565000,2.420000,2.450000,2.450000,1148000
2015-02-13,2.510000,2.765000,2.510000,2.715000,2.715000,1708400
