Date,Open,High,Low,Close,Adj Close,Volume
2015-02-09,3.323570,3.355000,3.284290,3.284290,1.336934,23927
2015-02-10,3.300000,3.362860,3.260710,3.284290,1.336934,31309
2015-02-11,3.300000,3.307860,3.252860,3.292140,1.340130,7000
2015-02-12,3.307860,3.307860,3.245000,3.284290,1.336934,4455
2015-02-13,3.260710,3.276430,3.245000,3.260710,1.327336,15909
2015-02-18,3.292140,3.300000,3.260710,3.284290,1.336934,28891
2015-02-19,3.268570,3.284290,3.229290,3.284290,1.336934,28000
2015-02-20,3.276430,3.276430,3.268570,3.268570,1.330535,38564
2015-02-23,3.260710,3.260710,3.142860,3.150710,1.282558,51164
2015-02-24,3.213570,3.284290,3.166430,3.284290,1.336934,107164
2015-02-25,3.276430,3.276430,3.174290,3.268570,1.330535,76618
2015-02-26,3.245000,3.260710,3.205710,3.260710,1.327336,21000
2015-02-27,3.229290,3.268570,3.213570,3.260710,1.327336,61855
2015-03-02,3.237140,3.237140,3.150710,3.229290,1.314545,76745
2015-03-03,3.260710,3.284290,3.158570,3.190000,1.298552,19473
2015-03-04,3.182140,3.260710,3.182140,3.260710,1.327336,5982
2015-03-05,3.197860,3.197860,3.150710,3.150710,1.282558,11455
2015-03-06,3.205710,3.205710,3.025000,3.064290,1.247379,29145
2015-03-09,3.056430,3.111430,2.907140,3.017140,1.228186,87309
2015-03-10,3.001430,3.064290,2.946430,3.056430,1.244179,89473
2015-03-11,3.001430,3.111430,2.985710,3.048570,1.240980,64018
2015-03-12,3.111430,3.182140,3.111430,3.182140,1.295352,46964
2015-03-13,3.142860,3.221430,3.142860,3.205710,1.304947,57018
2015-03-16,3.213570,3.213570,3.064290,3.182140,1.295352,50909
2015-03-17,3.174290,3.182140,3.064290,3.174290,1.292157,23164
2015-03-18,3.111430,3.260710,3.111430,3.260710,1.327336,68855
2015-03-19,3.190000,3.292140,3.142860,3.182140,1.295352,80564
2015-03-20,3.260710,3.276430,3.197860,3.276430,1.333735,10945
2015-03-23,3.229290,3.268570,3.182140,3.221430,1.311346,57655
2015-03-24,3.150710,3.260710,3.111430,3.229290,1.314545,114545
2015-03-25,3.174290,3.260710,3.111430,3.158570,1.285757,147509
2015-03-26,3.182140,3.221430,3.174290,3.205710,1.304947,20364
2015-03-27,3.237140,3.252860,3.158570,3.237140,1.317741,3055
2015-03-30,3.237140,3.252860,3.229290,3.245000,1.320940,20873
2015-03-31,3.245000,3.276430,3.221430,3.276430,1.333735,61727
2015-04-01,3.284290,3.315710,3.237140,3.292140,1.340130,41236
2015-04-02,3.300000,3.300000,3.268570,3.300000,1.343329,3436
